alpha,gamma_correct_mean,gamma_correct_std,gamma_mis_mean,gamma_mis_std,coef_x1_correct_mean,coef_x1_correct_std,coef_x1_mis_mean,coef_x1_mis_std
0.0,6.814508497573806,0.7802318547966672,6.486988863547622,0.648614123907557,1.3981198132661172,0.06897379181903966,1.5822760444413744,0.06186595582617078
0.06666666666666667,6.698656786167647,0.7765648140920922,6.636918363785224,0.6638415593457888,1.3949021331771987,0.06692182533358074,1.6056985673473774,0.05915347006096187
0.13333333333333333,6.716160225429288,0.7989277178350874,6.835597272944596,0.7037508761843596,1.3928441479697227,0.06889830099791774,1.6295219111812502,0.05947511846983747
0.2,6.593868855740909,0.7637037963154427,7.002681144871868,0.6430716326072744,1.3904332219242224,0.06862720379812227,1.6525729441509338,0.06028434333428658
0.26666666666666666,6.600906614507272,0.6651319090075394,7.269744499242974,0.6897250255984635,1.393379120704617,0.06756039894345134,1.6786273604192354,0.05971751722235865
0.3333333333333333,6.521527150877259,0.685036571843562,7.488548099740698,0.710181582214905,1.3933432161429453,0.06677015987532052,1.7023348143206547,0.0604936281266476
0.4,6.456798333511902,0.6546793289721277,7.665323769033404,0.7336837639961326,1.3922900324590242,0.06407689270201017,1.7233128972887855,0.05814873447572862
0.4666666666666667,6.435281991857679,0.6441714113379978,7.843234301352192,0.7619411476854082,1.391486328934308,0.0625967323692103,1.7437311149307007,0.05768387055388762
0.5333333333333333,6.452144641319254,0.6759143871655071,8.080709230561876,0.8098166029591174,1.3924099373422825,0.06449856424012994,1.7642635146080212,0.059897959864136534
0.6,6.369307963068213,0.6060969077854607,8.21105213373716,0.7509668695346311,1.3931720988637337,0.06064982111678405,1.78387355333107,0.05736036803164976
0.6666666666666666,6.332544280037963,0.6371732218236358,8.370081210323306,0.7836643295653151,1.391998166836004,0.06404919444351136,1.801422996567612,0.06002663361722553
0.7333333333333333,6.284042294181336,0.6644547690475782,8.568814881782647,0.7796278453545905,1.3918790585293885,0.06583475883449433,1.8191492922982666,0.06125844838784766
0.8,6.288915646757715,0.5787819228121679,8.720937457774687,0.8176200346851964,1.3917677726075879,0.06379161522936293,1.8357613428743105,0.060200413283819774
0.8666666666666667,6.287063386039233,0.610654729085766,8.84588871330626,0.8105609927395979,1.393460037508896,0.06576923747495818,1.8525897235301667,0.06165832654403542
0.9333333333333333,6.451661945164578,0.6210176015284301,9.08216718491199,0.899430158491551,1.3958684600047937,0.06656493989353417,1.8689629111938693,0.06270456514606598
1.0,6.610217335675925,0.5467299112202528,9.184115530592688,0.8709881606591009,1.3978069805703397,0.06722523856001117,1.8847138967500539,0.06277480786357854
1.0666666666666667,6.948877744153101,0.6234541170846736,9.342080144645443,0.9394440583949953,1.397327274354996,0.06608594737551544,1.8973592942270578,0.0609070011509105
1.1333333333333333,7.44527498091655,0.7930951874703667,9.415138797515402,0.8158675964112165,1.3982614592262292,0.06438373003685673,1.9103223305241162,0.06003456914835029
1.2,7.9815704857687315,0.9081119813588571,9.537307494407191,0.8817165724620416,1.399848568843841,0.06495865717791527,1.9232925016219,0.060033351404894575
1.2666666666666666,8.574174977759776,0.93991280162233,9.714494820671195,0.9655491113280059,1.4011392093510677,0.0660399700110544,1.934681996506812,0.06191154066594271
1.3333333333333333,9.212069675558041,1.0375439934313382,9.814833597487336,0.9213993397101566,1.402396121788642,0.06845537628723349,1.9458163238556276,0.06442660043124086
1.4,10.127859748376798,1.2052672501097315,9.901913445992996,0.9971052927194445,1.3999662416891363,0.06931629638643746,1.9538427485931438,0.06502012953957756
1.4666666666666666,10.875421712991745,1.2726793645869674,9.971485768301882,0.9598417270549868,1.4012097481634818,0.06708274152826064,1.9634066587423724,0.0638859473400217
1.5333333333333332,11.783070296727079,1.476531138471458,10.002335308780554,0.9551209990836274,1.3991817626767014,0.06806757321800394,1.970322366876185,0.06435517393488953
1.6,12.775942615434197,1.6108534710201334,10.003777040813112,0.9825703673552948,1.397826627655578,0.07058788495549764,1.9768063103756794,0.06548543909077642
1.6666666666666667,13.892168823540407,1.9726932986725934,10.130442206936811,0.9704892613776054,1.3977602240856057,0.06878192716638482,1.9835142336786078,0.06442839067485068
1.7333333333333334,14.829000866886703,2.182428934227868,10.158427213778278,0.959000369408773,1.3989511314409457,0.06992728623929374,1.9906911061852628,0.06597837120768249
1.8,16.084950289283324,2.3008918585598463,10.189345745187067,1.0217944588941053,1.3965719540479942,0.06936742276178656,1.994691687394139,0.0653064418658557
1.8666666666666667,17.400703215472447,2.638744002590617,10.200237183063281,1.0033160253583657,1.3937267854640265,0.07012207628577792,1.9980310947996371,0.0655156194174736
1.9333333333333333,18.7035597392057,2.815047561851069,10.192436367462753,0.9704827114700298,1.392995167905324,0.07217084979078232,2.0023625620522094,0.06554531688621652
2.0,20.135001763764727,3.3557471129880434,10.208954439670748,1.0284327658757766,1.3906147754526723,0.0744034451840829,2.0049360643317558,0.06659128928781824
